CET No,Marks,Rank
415011058,200.0,1
408011014,200.0,1
411011125,200.0,1
411011320,200.0,1
212011070,200.0,1
677011144,200.0,1
215011002,200.0,1
619011343,200.0,1
628011108,200.0,1
267011141,200.0,1
623011337,200.0,1
631011137,200.0,1
647011425,200.0,1
415011224,200.0,1
785011213,200.0,1
416011049,200.0,1
418011531,200.0,1
421011318,200.0,1
422011039,200.0,1
153011145,196.0,20
144011107,196.0,20
483011017,196.0,20
408011222,196.0,20
147011322,196.0,20
207011189,196.0,20
213011182,196.0,20
158011299,196.0,20
215011322,196.0,20
153011282,196.0,20
147011023,196.0,20
157011233,196.0,20
156011282,196.0,20
487011027,196.0,20
169011010,196.0,20
160011040,196.0,20
142011137,196.0,20
475011588,196.0,20
474011371,196.0,20
484011054,196.0,20
481011094,196.0,20
470011132,196.0,20
483011404,196.0,20
473011309,196.0,20
477011123,196.0,20
474011061,196.0,20
488011112,196.0,20
641011190,196.0,20
640011127,196.0,20
631011183,196.0,20
634011187,196.0,20
490011303,196.0,20
304011059,196.0,20
213011321,196.0,20
205011059,196.0,20
221011134,196.0,20
487011194,196.0,20
640011129,196.0,20
645011150,196.0,20
291011335,196.0,20
569011056,196.0,20
620011100,196.0,20
570011322,196.0,20
643011132,196.0,20
656011174,196.0,20
418011282,196.0,20
418011343,196.0,20
645011265,196.0,20
302011107,196.0,20
289011062,196.0,20
417011172,196.0,20
417011323,196.0,20
417011328,196.0,20
592011044,196.0,20
593011168,196.0,20
409011058,196.0,20
410011014,196.0,20
410011051,196.0,20
411011048,196.0,20
411011049,196.0,20
411011058,196.0,20
411011145,196.0,20
413011171,196.0,20
420011138,196.0,20
420011359,196.0,20
421011017,196.0,20
421011096,196.0,20
421011097,196.0,20
422011136,196.0,20
415011042,196.0,20
414011439,196.0,20
414011236,196.0,20
414011221,196.0,20
413011272,196.0,20
413011268,196.0,20
416011098,196.0,20
416011348,196.0,20
297011520,196.0,20
716011180,196.0,20
710011294,196.0,20
707011050,196.0,20
483011423,196.0,20
114011343,196.0,20
116011068,196.0,20
344011172,196.0,20
708011062,196.0,20
716011288,196.0,20
704011256,196.0,20
199011102,196.0,20
713011056,196.0,20
696011279,196.0,20
488011428,196.0,20
709011063,196.0,20
116011294,196.0,20
123011525,196.0,20
127011292,196.0,20
133011093,196.0,20
135011542,196.0,20
281011297,196.0,20
294011091,196.0,20
294011311,196.0,20
619011143,192.0,121
624011299,192.0,121
644011395,192.0,121
627011539,192.0,121
652011268,192.0,121
850011409,192.0,121
630011110,192.0,121
626011349,192.0,121
527011346,192.0,121
488011299,192.0,121
706011065,192.0,121
719011104,192.0,121
515011067,192.0,121
714011296,192.0,121
717011187,192.0,121
720011007,192.0,121
655011171,192.0,121
577011179,192.0,121
621011465,192.0,121
